iter,sf,qid,itype,prob,incremental,use_duckdb,is_scalar,prune,num_threads,distinct,batch,post_time,gen_time,prep_time,compile_time,eval_time,prune_time,lineage_time,ksemimodule_timing,spec,lineage_count,lineage_count_prune,lineage_size_mb,lineage_size_mb_prune,use_gb_backward_lineage,code_gen_time,data_time
1,1.0,9,DENSE_DELETE,0.3,false,false,true,true,1,1,4,0.074242,0.010454,0.003137,1.059239,0.001051,0.3398,0.061169,0.9556400775909424,,9575428,1734061,36.527359,6.614918,false,3.1e-05,0.00173
2,1.0,9,DENSE_DELETE,0.3,false,false,true,true,1,1,4,0.072782,0.01037,0.003136,1.065834,0.00104,0.33611,0.061539,0.9655749797821045,,9575428,1734061,36.527359,6.614918,false,3.1e-05,0.001803
1,1.0,9,DENSE_DELETE,0.4,false,false,true,true,1,1,4,0.072788,0.010529,0.003137,1.129173,0.001048,0.336871,0.061279,0.9653637409210205,,9575428,1734061,36.527359,6.614918,false,3e-05,0.001736
2,1.0,9,DENSE_DELETE,0.4,false,false,true,true,1,1,4,0.073518,0.011509,0.003121,1.113731,0.001054,0.339323,0.061526,0.9564416408538818,,9575428,1734061,36.527359,6.614918,false,3e-05,0.001738
1,1.0,9,DENSE_DELETE,0.5,false,false,true,true,1,1,4,0.073975,0.010423,0.003176,1.066921,0.001089,0.339873,0.061618,0.9627895355224609,,9575428,1734061,36.527359,6.614918,false,3.1e-05,0.001746
2,1.0,9,DENSE_DELETE,0.5,false,false,true,true,1,1,4,0.07283,0.010444,0.00315,1.074314,0.001063,0.338334,0.061809,0.965576171875,,9575428,1734061,36.527359,6.614918,false,3.3e-05,0.00176
1,1.0,10,DENSE_DELETE,0.001,false,false,true,true,1,1,4,0.054699,0.003162,0.001054,1.051716,0.000336,0.073829,0.043023,0.7500114440917969,,2122441,518130,8.09647,1.976509,false,2.5e-05,0.000617
2,1.0,10,DENSE_DELETE,0.001,false,false,true,true,1,1,4,0.054738,0.003116,0.001098,1.054881,0.000338,0.074093,0.042931,0.7521250247955322,,2122441,518130,8.09647,1.976509,false,2.5e-05,0.000651
1,1.0,10,DENSE_DELETE,0.002,false,false,true,true,1,1,4,0.054374,0.00319,0.001059,1.054002,0.000319,0.074636,0.042935,0.7569851875305176,,2122441,518130,8.09647,1.976509,false,2.5e-05,0.000642
2,1.0,10,DENSE_DELETE,0.002,false,false,true,true,1,1,4,0.055215,0.003137,0.001044,1.062586,0.000318,0.073996,0.042959,0.747952938079834,,2122441,518130,8.09647,1.976509,false,2.4e-05,0.000617
