sf,qid,itype,prob,incremental,use_duckdb,is_scalar,prune,num_threads,distinct,batch,post_time,gen_time,prep_time,compile_time,eval_time,prune_time,lineage_time,ksemimodule_timing,spec,lineage_count,lineage_count_prune,lineage_size_mb,lineage_size_mb_prune,use_gb_backward_lineage
1.0,7,DENSE_DELETE,0.1,false,false,true,true,1,64,4,6e-06,0.000325,0.001802,1.179775,0.000274,0.009389,0.067643,1.5331239700317383,,8817246,50002,33.635124,0.190742,false
1.0,9,DENSE_DELETE,0.1,false,false,true,true,1,64,4,5e-06,0.009774,0.004975,1.18383,0.019061,0.339823,0.063213,1.076542615890503,,9575428,1734061,36.527359,6.614918,true
1.0,9,DENSE_DELETE,0.1,false,false,true,true,1,64,4,4e-06,0.009625,0.004961,1.178973,0.011794,0.341198,0.061652,1.0753834247589111,,9575428,1734061,36.527359,6.614918,false
1.0,10,DENSE_DELETE,0.1,false,false,true,true,1,64,4,4e-06,0.003013,0.006403,1.183847,0.005613,0.073799,0.073872,0.8314573764801025,,2122441,518130,8.09647,1.976509,true
1.0,10,DENSE_DELETE,0.1,false,false,true,true,1,64,4,3e-06,0.002972,0.006213,1.172231,0.005197,0.073581,0.044451,0.829430341720581,,2122441,518130,8.09647,1.976509,false
1.0,12,DENSE_DELETE,0.1,false,false,true,true,1,64,4,2e-06,0.000907,0.000884,1.19577,0.00154,0.011526,0.014236,0.27121448516845703,,2478737,153051,9.455631,0.583843,true
1.0,12,DENSE_DELETE,0.1,false,false,true,true,1,64,4,3e-06,0.000922,0.000843,1.181397,0.001501,0.011627,0.014121,0.27172136306762695,,2478737,153051,9.455631,0.583843,false
1.0,1,DENSE_DELETE,0.1,false,false,true,false,1,64,4,2e-06,0.100208,0.345929,1.204441,0.393699,0.0,0.078636,1.7392151355743408,,11833182,11833182,45.140007,45.140007,true
1.0,1,DENSE_DELETE,0.1,false,false,true,false,1,64,4,2e-06,0.10021,0.346187,1.18414,0.40232,0.0,0.045226,1.7506520748138428,,11833182,11833182,45.140007,45.140007,false
1.0,3,DENSE_DELETE,0.1,false,false,true,false,1,64,4,3e-06,0.127239,0.014173,1.196754,0.022971,0.0,0.037374,0.3746607303619385,,4237529,4237529,16.16489,16.16489,true
1.0,3,DENSE_DELETE,0.1,false,false,true,false,1,64,4,4e-06,0.127661,0.014173,1.186139,0.022737,0.0,0.028624,0.3763887882232666,,4237529,4237529,16.16489,16.16489,false
1.0,5,DENSE_DELETE,0.1,false,false,true,false,1,64,4,6e-06,0.12971,0.019579,1.23562,0.03232,0.0,0.033312,0.3989241123199463,,6693785,6693785,25.534763,25.534763,true
1.0,5,DENSE_DELETE,0.1,false,false,true,false,1,64,4,5e-06,0.129576,0.019578,1.22166,0.032447,0.0,0.033092,0.40456652641296387,,6693785,6693785,25.534763,25.534763,false
1.0,7,DENSE_DELETE,0.1,false,false,true,false,1,64,4,6e-06,0.128636,0.012325,1.229409,0.050201,0.0,0.068128,1.5334579944610596,,8817246,8817246,33.635124,33.635124,true
1.0,7,DENSE_DELETE,0.1,false,false,true,false,1,64,4,6e-06,0.128737,0.012353,1.208591,0.050707,0.0,0.067792,1.5480964183807373,,8817246,8817246,33.635124,33.635124,false
1.0,9,DENSE_DELETE,0.1,false,false,true,false,1,64,4,5e-06,0.144076,0.029018,1.219316,0.062441,0.0,0.062988,1.072493076324463,,9575428,9575428,36.527359,36.527359,true
